阿鼻地狱 a.bi.di.yu
包藏奸心 bao.cang.jian.xin
抱诚守真 bao.cheng.shou.zhen
抱成一团 bao.cheng.yi.tuan
报仇雪耻 bao.chou.xue.chi
报雠雪恨 bao.chou.xue.hen
报仇雪恨 bao.chou.xue.hen
抱打不平 bao.da.bu.ping
宝刀不老 bao.dao.bu.lao
宝刀未老 bao.dao.wei.lao
抱法处势 bao.fa.chu.shi
暴风疾雨 bao.feng.ji.yu
暴风骤雨 bao.feng.zhou.yu
抱负不凡 bao.fu.bu.fan
抱关击柝 bao.guan.ji.tuo
抱关执籥 bao.guan.zhi.yue
保国安民 bao.guo.an.min
饱汉不知饿汉饥 bao.han.bu.zhi.e.han.ji
抱恨黄泉 bao.hen.huang.quan
抱恨终天 bao.hen.zhong.tian
暴虎冯河 bao.hu.ping.he
抱火寝薪 bao.huo.qin.xin
抱火卧薪 bao.huo.wo.xin
饱经沧桑 bao.jing.cang.sang
饱经风霜 bao.jing.feng.shuang
饱经风雨 bao.jing.feng.yu
饱经世变 bao.jing.shi.bian
饱经世故 bao.jing.shi.gu
饱经霜雪 bao.jing.shuang.xue
保境息民 bao.jing.xi.min
饱经忧患 bao.jing.you.huan
苞苴竿牍 bao.ju.gan.du
包举宇内 bao.ju.yu.nei
包揽词讼 bao.lan.ci.song
报李投桃 bao.li.tou.tao
暴戾恣睢 bao.li.zi.sui
暴敛横征 bao.lian.heng.zheng
饱练世故 bao.lian.shi.gu
抱令守律 bao.ling.shou.lv
暴露无遗 bao.lu.wu.yi
包罗万象 bao.luo.wan.xiang
包罗万有 bao.luo.wan.you
宝马香车 bao.ma.xiang.che
暴内陵外 bao.nei.ling.wai
饱暖生淫欲 bao.nuan.sheng.yin.yu
饱暖思淫欲 bao.nuan.si.yin.yu
暴虐无道 bao.nue.wu.dao
剥皮抽筋 bao.pi.chou.jin
抱朴含真 bao.pu.han.zhen
抱椠怀铅 bao.qian.huai.qian
暴取豪夺 bao.qu.hao.duo
